article_id,current_price,unit_cost,expected_volume_12mo,n_customers,p_star,delta_pct,score_eur,score_eur_calibrated,breakeven_price,mc_ci_low,mc_ci_high,mc_p_positive,driver_win_prob,driver_cost,driver_churn,constraint_active,wp_locked,wp_n_train
201397,1283.4985714285715,233.1361904761905,51.060157386487525,6,1283.4985714285713,-1.771514830672219e-14,17372.725576952176,20490.31178537563,1090.9737857142857,6701.922877453718,28088.4064889526,1.0,0.0,3856.0130604892,-36258.94290732217,,False,33
201398,929.7287234042553,261.78499999999997,110.95066104583404,15,929.7287234042553,0.0,27787.13987818989,32773.62306829483,790.2694148936171,16243.008554068712,40275.49618998841,1.0,0.0,10890.522896057504,-46321.65777492797,,False,62
201430,744.6666666666666,249.01000000000005,37.99739327937414,7,744.6666666666665,-1.526680900469329e-14,7214.936829469992,8509.678259337685,632.9666666666666,4405.189980081422,9923.090103134005,1.0,0.0,3624.669132342261,-11618.724465406987,,False,37
201456,988.05,364.445,2.0,2,988.05,0.0,1151.1609269387002,1357.7401084035391,839.8425,801.7145373396252,1520.8098894109569,1.0,0.0,672.7573448227236,-96.04907306129985,,False,24
201457,2120.2999999999997,409.06307692307695,27.59551959688182,5,2120.2999999999993,-2.1447311742982794e-14,39724.578728361535,46853.270091752005,1802.2549999999997,29625.479043629708,51963.50308240945,1.0,0.0,9495.972290545375,-7497.893317315436,,False,13
201459-I,1638.032,381.138,38.69458093246079,3,1638.0319999999997,-1.3880905589343315e-14,38581.43089666662,45504.98105187446,1392.3272,27266.844124693067,50532.07544795428,1.0,0.0,11699.355243237464,-10053.555709857741,,False,18
201773,413.8095238095238,281.7295238095238,230.53717464665877,2,475.88095238095235,14.999999999999996,31330.997292316242,36953.43601800835,351.73809523809524,20252.810070319032,43720.07397324649,1.0,0.0,42962.5164102026,-2461.8842897587965,delta_max_up,True,17
201791,1003.2733333333333,468.219,52.69314179308645,8,1003.2733333333333,0.0,15117.461138187757,17830.333573893386,852.7823333333333,10301.384728938972,20794.888679341013,1.0,0.0,13229.091132790507,-13076.23271515091,,False,18
201880-A,2411.45,415.05,4.0,3,2411.45,0.0,1750.7556225984385,2064.9338187114213,2049.7324999999996,645.0544846295207,2780.18875215093,0.9975,0.0,363.98072588633477,-6234.844377401561,,False,18
201885,1955.707066666667,498.4654666666668,132.0950125887069,6,1955.7070666666668,-1.1626162185463221e-14,170042.36816403118,200556.96643404255,1662.351006666667,124658.82090617553,218209.59131446676,1.0,0.0,58164.85639717465,-22451.979332756193,,False,54
201885-F,2624.72,418.55333333333334,3.0,3,2624.7199999999993,-1.732555666457619e-14,656.7491621216354,774.6047122570951,2231.0119999999997,-413.5900097531858,1659.4162534536845,0.835,0.0,124.59827044037866,-5961.750837878366,,False,30
201888,1972.8195238095238,334.98904761904765,49.770578166091134,6,1972.8195238095236,-1.152531555467235e-14,-10854.294783612604,-12802.129599149359,,-22912.94788285381,1397.448105779969,0.0675,0.0,-2220.052639755566,-92370.06452165695,,False,51
201915,3069.0,378.06,2.0,1,3069.0,0.0,-3580.1330971545462,-4222.598409725695,,-5191.496573844451,-2208.848514945116,0.0,0.0,-502.98598954649606,-8962.013097154546,,False,15
201924,2783.8754545454544,535.1495454545454,54.54098355448649,3,2783.8754545454544,0.0,107764.49662661058,127103.14944494156,2366.2941363636364,79720.60279702392,141184.41070373857,1.0,0.0,25645.687254603108,-14883.22619966438,,False,16
202427,2049.0,277.6342857142857,21.315017755808206,4,2049.0,0.0,-5340.513266316235,-6298.883927915722,,-11260.175676200173,-1.0763639395155433,0.05,0.0,-837.0431775232119,-43097.20491834612,,False,28
204235,1434.4615384615386,280.85423076923075,57.800633972805045,4,1434.4615384615386,0.0,20941.79456890614,24699.860603994744,1219.2923076923078,1687.2378178265396,41641.67354231148,0.955,0.0,5098.434766630435,-45737.43917137002,,False,16
204554,1223.0,263.9,31.475573352725917,5,1223.0,0.0,6121.080060104399,7219.525706500499,1039.55,1200.7957247354088,11195.574374978489,0.9775,0.0,1684.238377501355,-24067.142342495023,,False,28
204641,1173.0,230.35399999999998,10.0,4,1173.0,0.0,-626.8233503990232,-739.3086264523282,,-2953.5086115669556,1229.4190803615154,0.35,0.0,-153.17655414420278,-10053.283350399022,,False,15
205345-A,267.6782178217822,155.13440594059404,358.54666740801093,3,297.79201732673266,11.249999999999988,25694.342424669947,30305.267015796424,227.52648514851487,13550.494329220439,39321.573274810726,1.0,0.0,25144.66864592976,-15489.969878096981,,False,37
205415-B,9146.0,3024.84,31.44497909354707,1,9146.0,0.0,32803.91364445987,38690.67149988579,7774.099999999999,-37395.66549079328,93473.91359671412,0.8075,0.0,16210.422558519625,-159675.83458379668,,False,19
